ano,filiados,mes,sigla
1993,22,1,PSC
1993,106,1,PC DO B
1993,518,1,PSDB
1993,1173,1,PT
1993,253,1,PMN
1993,1,1,PCB
1993,184,1,PSB
1993,1,1,PSL
1993,280,1,PPS
1993,96,1,PRP
1993,269,3,PR
1993,1255,3,PDT
1993,10,3,PCB
1993,106,3,PSC
1993,263,3,PC DO B
1993,1744,3,PSDB
1993,4,3,PSTU
1993,2101,3,PT
1993,4133,3,DEM
1993,509,3,PTB
1993,579,3,PSB
1993,307,3,PMN
1993,540,3,PT DO B
1993,128,3,PTC
1993,75,3,PPS
1993,2,3,PRTB
1993,624,3,PP
1993,44,3,PV
1993,926,3,PMDB
1993,1294,3,PRP
2010,345,2,PR
2010,1240,2,PDT
2010,5,2,PSD
2010,2,2,PSTU
2010,255,2,DEM
2010,387,2,PTB
2010,153,2,PHS
2010,53,2,PT DO B
2010,39,2,PMN
2010,99,2,PRTB
2010,249,2,PTC
2010,321,2,PSOL
2010,829,2,PMDB
2010,565,2,PP
2010,175,2,PTN
2010,416,2,PSC
2010,397,2,PC DO B
2010,1560,2,PSDB
2010,570,2,PV
2010,1514,2,PT
2010,409,2,PRB
2010,3,2,PCB
2010,445,2,PSB
2010,84,2,PSL
2010,11,2,PPL
2010,142,2,PSDC
2010,406,2,PPS
2010,51,2,PRP
2010,1387,4,PR
2010,1740,4,PDT
2010,8,4,PSD
2010,2,4,PSTU
2010,1086,4,DEM
2010,1393,4,PTB
2010,250,4,PHS
2010,235,4,PT DO B
2010,200,4,PMN
2010,132,4,PRTB
2010,326,4,PTC
2010,513,4,PSOL
2010,3828,4,PMDB
2010,1949,4,PP
2010,199,4,PTN
2010,2561,4,PSC
2010,599,4,PC DO B
2010,2472,4,PSDB
2010,1194,4,PV
2010,2211,4,PT
2010,1242,4,PRB
2010,10,4,PCB
2010,1505,4,PSB
2010,211,4,PSL
2010,9,4,PPL
2010,453,4,PSDC
2010,469,4,PPS
2010,93,4,PRP
2010,465,1,PR
2010,1,1,PCO
2010,1339,1,PDT
2010,12,1,PSD
2010,25,1,PSTU
2010,404,1,DEM
2010,846,1,PTB
2010,244,1,PHS
2010,165,1,PT DO B
2010,469,1,PMN
2010,106,1,PRTB
2010,126,1,PTC
2010,315,1,PSOL
2010,1674,1,PMDB
2010,619,1,PP
2010,221,1,PTN
2010,469,1,PSC
2010,721,1,PC DO B
2010,1258,1,PSDB
2010,543,1,PV
2010,1985,1,PT
2010,476,1,PRB
2010,7,1,PCB
2010,1086,1,PSB
2010,125,1,PSL
2010,5,1,PPL
2010,145,1,PSDC
2010,232,1,PPS
2010,117,1,PRP
2010,866,3,PR
2010,1355,3,PDT
2010,2,3,PSD
2010,4,3,PSTU
2010,667,3,DEM
2010,998,3,PTB
2010,217,3,PHS
2010,161,3,PT DO B
2010,694,3,PMN
2010,229,3,PRTB
2010,197,3,PTC
2010,733,3,PSOL
2010,2162,3,PMDB
2010,1071,3,PP
2010,328,3,PTN
2010,2190,3,PSC
2010,611,3,PC DO B
2010,3564,3,PSDB
2010,1096,3,PV
2010,2365,3,PT
2010,1393,3,PRB
2010,7,3,PCB
2010,1489,3,PSB
2010,282,3,PSL
2010,3,3,PPL
2010,438,3,PSDC
2010,366,3,PPS
2010,166,3,PRP
2004,1461,2,PR
2004,10,2,PCO
2004,1410,2,PDT
