ano,filiados,mes,sigla
1992,2860,5,PMDB
1992,527,5,PTC
1992,1609,5,PR
1992,1999,5,PSC
1992,1883,5,PRP
1992,3170,5,PDT
1992,9628,5,PP
1992,1570,5,PT
1992,1834,5,PPS
1992,7510,5,PTB
1992,2278,5,DEM
1992,1,11,PCO
1992,222,11,DEM
1992,365,11,PMN
1992,735,11,PP
1992,40,11,PV
1992,451,11,PMDB
1992,207,11,PPS
1992,1,11,SD
1992,1,11,PHS
1992,1,11,PSOL
1992,136,11,PSB
1992,36,11,PCB
1992,243,11,PR
1992,735,11,PT DO B
1992,9,11,PTC
1992,208,11,PC DO B
1992,56,11,PSC
1992,11,11,PRP
1992,761,11,PDT
1992,1,11,PTN
1992,367,11,PT
1992,339,11,PTB
1992,419,11,PSDB
1992,158,8,PSB
1992,129,8,PV
1992,23,8,PCB
1992,257,8,PMN
1992,623,8,PT DO B
1992,226,8,PR
1992,2067,8,PMDB
1992,38,8,PSC
1992,166,8,PTC
1992,182,8,PC DO B
1992,2,8,PTN
1992,119,8,PRP
1992,268,8,PSDB
1992,352,8,PDT
1992,1945,8,PP
1992,433,8,PT
1992,1,8,PSD
1992,161,8,PPS
1992,601,8,PTB
1992,308,8,DEM
1992,21,3,PCO
1992,24346,3,DEM
1992,6811,3,PMN
1992,44274,3,PP
1992,11,3,PSTU
1992,2368,3,PV
1992,6,3,PSDC
1992,32790,3,PMDB
1992,14,3,PRTB
1992,1803,3,PPS
1992,13,3,PHS
1992,6390,3,PSB
1992,19,3,PCB
1992,13012,3,PR
1992,2,3,PSL
1992,1279,3,PT DO B
1992,3494,3,PTC
1992,1284,3,PC DO B
1992,8450,3,PSC
1992,7343,3,PRP
1992,24931,3,PDT
1992,146,3,PTN
1992,22682,3,PT
1992,28176,3,PTB
1992,22606,3,PSDB
1992,1,10,PPL
1992,166,10,DEM
1992,68,10,PMN
1992,489,10,PP
1992,8,10,PV
1992,805,10,PMDB
1992,336,10,PPS
1992,1,10,PHS
1992,1,10,PSOL
1992,52,10,PSB
1992,1,10,PCB
1992,198,10,PR
1992,2,10,PSL
1992,1124,10,PT DO B
1992,6,10,PTC
1992,241,10,PC DO B
1992,57,10,PSC
1992,19,10,PRP
1992,730,10,PDT
1992,1,10,PTN
1992,344,10,PT
1992,196,10,PTB
1992,167,10,PSDB
1992,1,6,PCO
1992,1637,6,PDT
1992,680,6,PMN
1992,3978,6,PP
1992,672,6,PV
1992,1574,6,PMDB
1992,1,6,PRTB
1992,858,6,PPS
1992,377,6,PSB
1992,11,6,PCB
1992,1137,6,PR
1992,2,6,PSL
1992,892,6,PT DO B
1992,700,6,PTC
1992,161,6,PC DO B
1992,712,6,PSC
1992,923,6,PRP
1992,1185,6,DEM
1992,2,6,PTN
1992,581,6,PT
1992,3042,6,PTB
1992,1443,6,PSDB
1992,1,4,PCO
1992,14530,4,DEM
1992,3863,4,PMN
1992,25263,4,PP
1992,11,4,PSTU
1992,1469,4,PV
1992,1,4,PSDC
1992,17967,4,PMDB
1992,11,4,PRTB
1992,1098,4,PPS
1992,12,4,PHS
1992,2,4,PSOL
1992,3668,4,PSB
1992,41,4,PCB
1992,7580,4,PR
1992,39,4,PSL
1992,3468,4,PT DO B
1992,3225,4,PTC
1992,871,4,PC DO B
1992,3525,4,PSC
1992,4042,4,PRP
1992,14238,4,PDT
1992,13,4,PTN
1992,7729,4,PT
1992,21581,4,PTB
1992,13577,4,PSDB
1992,167,7,PSB
1992,1,7,PRB
1992,1,7,PCB
1992,132,7,PMN
1992,237,7,PTC
1992,158,7,PR
1992,114,7,PRP
1992,281,7,PV
1992,513,7,PMDB
1992,1077,7,PT DO B
1992,181,7,PC DO B
1992,284,7,PSC
1992,1,7,PRTB
1992,499,7,PSDB
1992,576,7,PDT
1992,2181,7,PP
1992,359,7,PT
1992,484,7,PPS
1992,438,7,PTB
1992,1,7,SD
1992,496,7,DEM
1992,2899,1,PSB
1992,403,1,PV
1992,2327,1,DEM
1992,2715,1,PMN
1992,18,1,PT DO B
1992,1712,1,PR
1992,1,1,PSTU
1992,9651,1,PMDB
1992,1989,1,PSC
1992,783,1,PTC
1992,186,1,PC DO B
1992,1,1,PTN
1992,1,1,PRTB
1992,3744,1,PDT
1992,16082,1,PP
1992,2320,1,PT
1992,651,1,PRP
1992,74,1,PPS
1992,4334,1,PTB
1992,1,1,SD
1992,4038,1,PSDB
1992,5220,2,DEM
1992,2895,2,PMN
1992,17524,2,PP
1992,997,2,PV
1992,1,2,PSDC
1992,95084,2,PMDB
1992,2,2,PRTB
1992,2,2,PSD
1992,72,2,PPS
1992,1,2,PHS
1992,2279,2,PSB
1992,4,2,PCB
1992,3236,2,PR
1992,6,2,PSL
1992,523,2,PT DO B
1992,983,2,PTC
1992,172,2,PC DO B
1992,3358,2,PSC
1992,2702,2,PRP
1992,7967,2,PDT
1992,55,2,PTN
1992,5530,2,PT
1992,7281,2,PTB
1992,8017,2,PSDB
1992,294,12,PDT
1992,140,12,PMN
1992,4,12,PSTU
1992,263,12,PV
1992,702,12,PMDB
1992,27,12,PRTB
1992,56,12,PPS
1992,1,12,PHS
1992,3,12,PTN
1992,54,12,PSB
1992,62,12,PR
1992,1,12,PSL
1992,75,12,PT DO B
1992,10,12,PTC
1992,61,12,PC DO B
1992,74,12,PSC
1992,36,12,PRP
1992,148,12,DEM
1992,1289,12,PP
1992,479,12,PT
1992,218,12,PTB
1992,225,12,PSDB
1992,348,9,PSDB
1992,52,9,PSB
1992,37,9,PCB
1992,57,9,PMN
1992,263,9,PT DO B
1992,109,9,PR
1992,1,9,PSTU
1992,149,9,PV
1992,592,9,PMDB
1992,429,9,PTC
1992,65,9,PC DO B
1992,150,9,PSC
1992,22,9,PRP
1992,409,9,PDT
1992,1025,9,PP
1992,480,9,PT
1992,192,9,PPS
1992,231,9,PTB
1992,247,9,DEM
2010,6,5,PPL
2010,596,5,DEM
2010,63,5,PMN
2010,978,5,PP
2010,8,5,PSTU
2010,686,5,PV
2010,201,5,PSDC
2010,1296,5,PMDB
2010,36,5,PRTB
2010,5,5,PSD
2010,180,5,PPS
2010,413,5,PRB
2010,331,5,PHS
2010,231,5,PSOL
2010,518,5,PSB
2010,6,5,PCB
2010,1006,5,PR
2010,259,5,PSL
2010,545,5,PT DO B
2010,197,5,PTC
2010,722,5,PC DO B
2010,2010,5,PSC
2010,291,5,PRP
2010,1484,5,PDT
2010,233,5,PTN
2010,1312,5,PT
2010,779,5,PTB
2010,1876,5,PSDB
2010,12,11,PPL
2010,1,11,PCO
